Title,Author,PublicationYear
Brave New World,Aldous Huxley,1932
The Great Gatsby,F. Scott Fitzgerald,1925
Dune,Frank Herbert,1965
Crime and Punishment,Fyodor Dostoevsky,1866
Animal Farm,George Orwell,1945
1984,George Orwell,1949
To Kill a Mockingbird,Harper Lee,1960
Moby Dick,Herman Melville,1851
Foundation,Isaac Asimov,1951
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
The Lord of the Rings,J.R.R. Tolkien,1954
Slaughterhouse-Five,Kurt Vonnegut,1969
War and Peace,Leo Tolstoy,1869
Don Quixote,Miguel de Cervantes,1605
The Alchemist,Paulo Coelho,1988
Fahrenheit 451,Ray Bradbury,1953
Neuromancer,William Gibson,1984
The Catcher in the Rye,Author Unknown,1999
Neuromancer,Author Unknown,2001
Dune,Author Unknown,0
The Lord of the Rings,Author Unknown,0
War and Peace,Author Unknown,0
